word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Ebisisani byemanzi kaswa,Super Heroes fight villains because they cause trouble.,Emanzi kaswa zirwanisa abaleesi bobutabanguko.,Emanzi kaswa zirwanisa abaleesi bobutabanguko.,Super Heroes fight villains because they cause trouble.,,,Both,,
Ebisisani Nyakimerika,A western film tells stories about cow boys life in the old American old west.,Ebisisani Nyakimerika kitwoleka ebya ba komuboi nobwomeezi ebwebirro birimu America.,Ebisisani Nyakimerika kitwoleka ebya ba komuboi nobwomeezi ebwebirro birimu America.,A western film tells stories about cow boys life in the old American old west.,,,Both,,
Obugango,Gunpowder is called obuganga and it is also on match boxes.,Obugango buba bwe mundu kandi buli ha kibiriti.,Obugango buba bwe mundu kandi buli ha kibiriti.,Gunpowder is called obuganga and it is also on match boxes.,,,Both,,
enkungani,Conflict is between the two and its them to resolve it.,Enkungani ziteekwa babiri kandi nubo ba zimaraho.,Enkungani ziteekwa babiri kandi nubo ba zimaraho.,Conflict is between the two and its them to resolve it.,,,Both,,
Rwasamabale,Rwasamabale which is the Cannon was a gun for Kabalega.,Rwasamabale ekaba mundu ya Kabalega.,Rwasamabale ekaba mundu ya Kabalega.,Rwasamabale which is the Cannon was a gun for Kabalega.,,,Both,,
Masiketi,Musket gun was long time ago.,Masiketi mundu yaira muno,Masiketi mundu yaira muno,Musket gun was long time ago.,,,Both,,
Emundu Yomuleera,The Rifle gun was the first to appear in Bunyoro Kitara.,Emundu Yomuleera niyo yabandize kuleetwa Bunyoro Kitara.,Emundu Yomuleera niyo yabandize kuleetwa Bunyoro Kitara.,The Rifle gun was the first to appear in Bunyoro Kitara.,,,Both,,
akalitango,Political campaign cause a lot of conflict.,Akalitango k'ebyendema kaleeta enkunguni nyingi.,Akalitango k'ebyendema kaleeta enkunguni nyingi.,Political campaign cause a lot of conflict.,,,Both,,
obubiito,Nobility is born not acquired.,Obubiito omunru azarwa nabwo tiburuga handi.,Obubiito omunru azarwa nabwo tiburuga handi.,Nobility is born not acquired.,,,Both,,
abaguuda,Aristocracry does not care of commers but for themselves.,Abaguuda tibafaayo abahansi befaaho bonka.,Abaguuda tibafaayo abahansi befaaho bonka.,Aristocracry does not care of commers but for themselves.,,,Both,,
abatesobora,Peasants have small income not enough for their needs.,Abatesobora baina ebintu kyonka tibirukubamara.,Abatesobora baina ebintu kyonka tibirukubamara.,Peasants have small income not enough for their needs.,,,Both,,
abalimi,"Serf have nothing to depend on, survive on working for others.",Abalimi tibagira kantu baikara nibakolereza.,Abalimi tibagira kantu baikara nibakolereza.,"Serf have nothing to depend on, survive on working for others.",,,Both,,
kuteera ebyahaiguru,the director used a crane short to city show the whole city,akakozesa omulingo gwokuteerra haguru nukwo atungeekigisaru kyorubuga rwoona,akakozesa omulingo gwokuteerra haguru nukwo atungeekigisaru kyorubuga rwoona,the director used a crane short to city show the whole city,,,Both,,
kuteerra mumwaanya,the wedding video startsb with a beautiful aerial shot,ubugeruyibwe bukatandika nekisisaru kyomurrwaarya ekirungi kwoleka erukaro kyobugenyi,ubugeruyibwe bukatandika nekisisaru kyomurrwaarya ekirungi kwoleka erukaro kyobugenyi,the wedding video startsb with a beautiful aerial shot,,,Both,,
mporaho kukira kara,slow motion show actions slower than the real life,mporaho kukira kara eyoleka ebirorwo nkorubita bulikiro,mporaho kukira kara eyoleka ebirorwo nkorubita bulikiro,slow motion show actions slower than the real life,,,Both,,
bwango ho kukira kara,fest motion makes things move faster than normal,ayoleka bwangoho kuli nkorubiba bulikiro,ayoleka bwangoho kuli nkorubiba bulikiro,fest motion makes things move faster than normal,,,Both,,
Omuhandiiki w'emizaano ya harutimbi,He is the screenwriter and works with the director.,Omuhandiiki w'emizaano y'orutimbi akoorra hamu nomutekaniza w'ebisisani by'orutimbi.,Omuhandiiki w'emizaano y'orutimbi akoorra hamu nomutekaniza w'ebisisani by'orutimbi.,He is the screenwriter and works with the director.,,,Both,,
rugutiihazabwiire,time lapse shows slow things happening first,amagezi rugutihaza bwiire karwoleka obwire oburaihire,amagezi rugutihaza bwiire karwoleka obwire oburaihire,time lapse shows slow things happening first,,,Both,,
mukama,My Lord the judge.,Mukama wange omucwiwemisango.,Mukama wange omucwiwemisango.,My Lord the judge.,,,Both,,
mugole wange,Lady Tereza will go to Chaina tomorrow.,Mugole wange Tereza nyenkya nagenda Chaina.,Mugole wange Tereza nyenkya nagenda Chaina.,Lady Tereza will go to Chaina tomorrow.,,,Both,,
omunaiti,The knight is a respected person.,Omunaiti aba muntu wekitiniisa omubantu.,Omunaiti aba muntu wekitiniisa omubantu.,The knight is a respected person.,,,Both,,
Ihe kafumba,Infantry are those soldiers on the foot attacking the enemy.,Ihe eriifumba niryo lirubata habigere.,Ihe eriifumba niryo lirubata habigere.,Infantry are those soldiers on the foot attacking the enemy.,,,Both,,
omurwani,A wise warrior does not attack before he studied properly the strength of an enemy.,Omurwani owamagezi tarumba atakamazire kumanya amaani aganyali kuli kuli.,Omurwani owamagezi tarumba atakamazire kumanya amaani aganyali kuli kuli.,A wise warrior does not attack before he studied properly the strength of an enemy.,,,Both,,
omuserukale,A soldier is a member of the army.,Omuserukale nuwe aba murwani mumahe.,Omuserukale nuwe aba murwani mumahe.,A soldier is a member of the army.,,,Both,,
Mucencuzi w'enzooka y'ebisisani Ruganda,"The Director of photography, decides where lights should go.","Omucencuzi W'enzooka y'ebisisani Rugenda, nuwe acwaamu etaara haziragenda","Omucencuzi W'enzooka y'ebisisani Rugenda, nuwe acwaamu etaara haziragenda","The Director of photography, decides where lights should go.",,,Both,,
abatekaniza bebisisani,the director thanked the crew for th e hard work,omwebembezi akasiima abakozi boona habworukora n'amaaru,omwebembezi akasiima abakozi boona habworukora n'amaaru,the director thanked the crew for th e hard work,,,Both,,
abakozi mumuzaano gworutimbi,the film crew includes all people except the actor,abakozi boona a bazaani nibababatarumu,abakozi boona a bazaani nibababatarumu,the film crew includes all people except the actor,,,Both,,
Ebyengonzi Rusekesa,We watched aromatic comedy and grew agoose body.,Tukarora ebisisani by'engonzi rusekesa isoke ryaturuga ha mutwe,Tukarora ebisisani by'engonzi rusekesa isoke ryaturuga ha mutwe,We watched aromatic comedy and grew agoose body.,,,Both,,
kuteera haihi,the director called for a close up of the actor face to capture her tears,omuhabuzi akaragira kuteerra haitu ekisisaru kyahamaiso gomuzaani nurwo akwaate amazigage,omuhabuzi akaragira kuteerra haitu ekisisaru kyahamaiso gomuzaani nurwo akwaate amazigage,the director called for a close up of the actor face to capture her tears,,,Both,,
Ebisisani Nyakarubata,Animation make picture move.,"Ebisisani Nyakarubata, tibiikara mukiikaro kimu.","Ebisisani Nyakarubata, tibiikara mukiikaro kimu.",Animation make picture move.,,,Both,,
kuteerra hagati,the director set kubwa up a medium to shot to capture both actors during their conversation,omuhabuzi akoolera omurwaani omusinauzi obwakabaka naraba muirungu ryomusenyi,omuhabuzi akoolera omurwaani omusinauzi obwakabaka naraba muirungu ryomusenyi,the director set kubwa up a medium to shot to capture both actors during their conversation,,,Both,,
Ekisisani Nyabusorosoro ekigufu.,Children love cartoons because of their bright colors.,"Abaana bagonza ebisisani Nyabusorosoro ebigufu, habwerangi zaabyo ezirukwaaka.","Abaana bagonza ebisisani Nyabusorosoro ebigufu, habwerangi zaabyo ezirukwaaka.",Children love cartoons because of their bright colors.,,,Both,,
kuteerra hagazi,it used a wide shot to capture the wide ste on stage,cosemerule kuteerra hagazi nurwo arwaate entekaniza yona eyaharutti,cosemerule kuteerra hagazi nurwo arwaate entekaniza yona eyaharutti,it used a wide shot to capture the wide ste on stage,,,Both,,
Amagezi gatekinorojo,CGI can create characters that are not real .,Amagezi ga tekinoroje nibakozesa ebintu byokwesisaniriza.,Amagezi ga tekinoroje nibakozesa ebintu byokwesisaniriza.,CGI can create characters that are not real .,,,Both,,
Ebisisani byebyabaireho ira,Young children were interested to watch a film on Historical events.,Abaana abato bakaba nibagonza kurora ebisisani birukukwataho ebyaira.,Abaana abato bakaba nibagonza kurora ebisisani birukukwataho ebyaira.,Young children were interested to watch a film on Historical events.,,,Both,,
Ebisisani byomunyikara eyaira,"The period drama involved Kings, Queens and historical events.","Ebisisani by'omunyikara yaira bikaba birumu, Abakama n'abago, n'ebyabaireho ira.","Ebisisani by'omunyikara yaira bikaba birumu, Abakama n'abago, n'ebyabaireho ira.","The period drama involved Kings, Queens and historical events.",,,Both,,
Ebyobwomeezi,A biopic tells a real person story.,Ebyobwomeezi bwomuntu nibyo yagambireho.,Ebyobwomeezi bwomuntu nibyo yagambireho.,A biopic tells a real person story.,,,Both,,
Ebisisani by'obweemi,Murder is the worst crime.,Obwiisi kikorwa ekiru kukirayo ekyobweemi.,Obwiisi kikorwa ekiru kukirayo ekyobweemi.,Murder is the worst crime.,,,Both,,
Ebyobwemi nabakuru baabyo,Gangster films show the lives of criminal and mob bosses.,"Ebisisani by'obwemi, bitwoleka enkozi zebibi n'abakuru baabo.","Ebisisani by'obwemi, bitwoleka enkozi zebibi n'abakuru baabo.",Gangster films show the lives of criminal and mob bosses.,,,Both,,
Sayansa na Tekinoroje,Science fiction takes the audience to the past and the future.,Sayansa na Tekinoroje munganikyo bitwoleka ebirukwija n'ebyabaireho.,Sayansa na Tekinoroje munganikyo bitwoleka ebirukwija n'ebyabaireho.,Science fiction takes the audience to the past and the future.,,,Both,,
teera kanyarubaju,the camra tilts slowly toreavel the childs face,akateera karyavubaju rukwo ayoleke ekisurumba,akateera karyavubaju rukwo ayoleke ekisurumba,the camra tilts slowly toreavel the childs face,,,Both,,
kuleeta haihiekisisani,the camera zooms in to show the childs face,kamera erateetahaihi ekisisani kwoleka omwana hamarsa,kamera erateetahaihi ekisisani kwoleka omwana hamarsa,the camera zooms in to show the childs face,,,Both,,
kamera ruhondereza,the camera man mounted a dolly to follow the actor,akakozesa omulingo gwa kamera nurwa a kuratule omuzaani,akakozesa omulingo gwa kamera nurwa a kuratule omuzaani,the camera man mounted a dolly to follow the actor,,,Both,,
Omuhabuzi w'abazaani,The film director tells the actors what to do.,Omwecencuzi w'ebisisani by'orutimbi ayoleka abazaani nkoku barazaana.,Omwecencuzi w'ebisisani by'orutimbi ayoleka abazaani nkoku barazaana.,The film director tells the actors what to do.,,,Both,,
kukwaata ebisisaru n'amaraka,the director watched carefully while filming the action scene,omuteraniza w'e bisisani byorutimbi akeecumutiriza muno obuyabaire nakwaata ebicweka byomuzaano,omuteraniza w'e bisisani byorutimbi akeecumutiriza muno obuyabaire nakwaata ebicweka byomuzaano,the director watched carefully while filming the action scene,,,Both,,
ekiikaro orukuteerraamu ebisisani,the crew transported all equipment to the filming location,abakozi boona bakatwaara ebirukweetagisa byoona mukiikaro kyorukwatiramu ebisisaru,abakozi boona bakatwaara ebirukweetagisa byoona mukiikaro kyorukwatiramu ebisisaru,the crew transported all equipment to the filming location,,,Both,,
nyantarabwaamu iraka,filmimg on a sond stage allows the learn to avoid bad weather,kurwatira ebisisaru mwkisiika nyantarabwamu iraka kikoonyera,kurwatira ebisisaru mwkisiika nyantarabwamu iraka kikoonyera,filmimg on a sond stage allows the learn to avoid bad weather,,,Runyoro,,
imaratwoona habwebisisani byaharutimbi,he got a job at a film studio as a costume master,akatunga omulimo mu imaratwoona habwebisaru byorutimbi,akatunga omulimo mu imaratwoona habwebisaru byorutimbi,he got a job at a film studio as a costume master,,,Both,,
ikoorro iyebisisasi byaharutimbi amenka,mary famous actors live in holywood,abaazani baingi bararo holiwuudu,abaazani baingi bararo holiwuudu,mary famous actors live in holywood,,,Both,,
ikoorro ryebisisaru byaharutimbi naijenya,many actors work in nollywood,abazaani abaingi mu naijanya baraara nolewudu,abazaani abaingi mu naijanya baraara nolewudu,many actors work in nollywood,,,Both,,
kwolekabebyahinguire,the story uses a flash back to explain the accident,akooleka ebyahingwire kusoboorra butandwa eyabaireho,akooleka ebyahingwire kusoboorra butandwa eyabaireho,the story uses a flash back to explain the accident,,,Both,,
kulengera mumaiso,a flash forward shows what will happen at the end at the story,kulemgera mumaiso kyoolera ekiuraabaho hakumaliirro,kulemgera mumaiso kyoolera ekiuraabaho hakumaliirro,a flash forward shows what will happen at the end at the story,,,Both,,
Mucencuzi W'ebisisani Rugenda,The cinematographer with the director planned every scenes light.,"Omucencuzi W'ebisisani Rugenda n'omutekaniza womuzaano gw'orutimba, bakateekaniza hamu ebyamataara.","Omucencuzi W'ebisisani Rugenda n'omutekaniza womuzaano gw'orutimba, bakateekaniza hamu ebyamataara.",The cinematographer with the director planned every scenes light.,,,Both,,
rwabwango nyabuguru,he used a montage to show many events in a short,ebisisani rwazwango nyabuguta birwooleka biingi mubule bugutu,ebisisani rwazwango nyabuguta birwooleka biingi mubule bugutu,he used a montage to show many events in a short,,,Both,,
owebicweeka byokwegendereza,The stunt performer should ber a careful play ready to act consiously,owebicweeka byokwegendereza asemerire kuzaana naye kenga,owebicweeka byokwegendereza asemerire kuzaana naye kenga,The stunt performer should ber a careful play ready to act consiously,,,Both,,
omukonyezi wabazaaru,the voice actor performed when the main actor was ill,omukonyezi wa baazaani rweyazaire omuzaanik omukuru obuyarwaire,omukonyezi wa baazaani rweyazaire omuzaanik omukuru obuyarwaire,the voice actor performed when the main actor was ill,,,Both,,
Ebisisani Runanura,Documentaries show real events.,Ebisisani Runanura bitwoleka kyonyini.,Ebisisani Runanura bitwoleka kyonyini.,Documentaries show real events.,,,Both,,
kusihuuka ha rwitimbii,they finalshot fades to black leaving the audience insuspense,habwokusihuuka kwebisisaru harutimbi abasungi bakasigara mumyaarya,habwokusihuuka kwebisisaru harutimbi abasungi bakasigara mumyaarya,they finalshot fades to black leaving the audience insuspense,,,Both,,
kutahiramu ngana kwebisisani,the shot slowly dissolves from day to right,ebisisa bya nyamusana bikatahuramumgaana mpora mpora byayoleka ekiro,ebisisa bya nyamusana bikatahuramumgaana mpora mpora byayoleka ekiro,the shot slowly dissolves from day to right,,,Both,,
Ebisisani Nyabusorosoro,Animated films tell stories for kids and Adults .,Ebisisani Nyabusorosoro bwoleka abaana n'abakuru obuganikyo.,Ebisisani Nyabusorosoro bwoleka abaana n'abakuru obuganikyo.,Animated films tell stories for kids and Adults .,,,Both,,
eribumbirwe nyaisatu,the artist designed 3D sculputure for the exibition,omwehangahangi akakora erubumbirwe ryaisatu yakitwaara murwoleko,omwehangahangi akakora erubumbirwe ryaisatu yakitwaara murwoleko,the artist designed 3D sculputure for the exibition,,,Both,,
garubindi nyaisatu,without 3D glasses the movie looks burry,obworukuba atajwaire garubindi nyaisatu ekisisani kuzooka nkekisihukire,obworukuba atajwaire garubindi nyaisatu ekisisani kuzooka nkekisihukire,without 3D glasses the movie looks burry,,,Both,,
yebiokorwa rubanbwa,my brother likes action films because they are exciting,mugenzi wange agonza ebisisani byaharutimbi ebyebikorwa rubambura,mugenzi wange agonza ebisisani byaharutimbi ebyebikorwa rubambura,my brother likes action films because they are exciting,,,Both,,
ebisisani runanura,Documentaries show real events.,Ebisisani runanura bitwoleka kyonyini.,Ebisisani runanura bitwoleka kyonyini.,Documentaries show real events.,,,Both,,
ruvumbura,"the adventure film took the audience through jangle,s mountains and deserts",ebisisani ruvumbura abasungi amarungu n'ensozi,ebisisani ruvumbura abasungi amarungu n'ensozi,"the adventure film took the audience through jangle,s mountains and deserts",,,Both,,
omucencuzi w'omuzaano gw'harutimbi,the editor corrected mistakes in the article,omucencuzi womuzaano gwaharutimbi agoorra ensobi8 zoona eziri mu kihandiiko,omucencuzi womuzaano gwaharutimbi agoorra ensobi8 zoona eziri mu kihandiiko,the editor corrected mistakes in the article,,,Both,,
kuteera babiri hamurundi,the romantic scene was filmed two shot emphasize the closeness of the couple,mukucweka ekyengonzi naija kuteera babiri rrwrundigumu nukwo agumye obumu bwamubwababiri,mukucweka ekyengonzi naija kuteera babiri rrwrundigumu nukwo agumye obumu bwamubwababiri,the romantic scene was filmed two shot emphasize the closeness of the couple,,,Both,,
teera enyuma nomumaiso gababiri,the over the shoulder shot enabled us to see both character in argument,kuteera enyumano mumaiso gababiri kikoonyera kurora bombi abaruikubazahamu,kuteera enyumano mumaiso gababiri kikoonyera kurora bombi abaruikubazahamu,the over the shoulder shot enabled us to see both character in argument,,,Both,,
